"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","CD274_combo","STAD_CIN","STAD_EBV",301,38,6.65422355232783,2.84799514032441e-11,9.96798299113543e-10,"****"
"2","CD274_combo","STAD_CIN","STAD_GS",301,61,1.20849193579337,0.226858095824307,1,"ns"
"3","CD274_combo","STAD_CIN","STAD_MSI",301,93,7.98782937807446,1.37335344124456e-15,5.3560784208538e-14,"****"
"4","CD274_combo","STAD_CIN","EMT",301,73,1.02350032190093,0.306071347781245,1,"ns"
"5","CD274_combo","STAD_CIN","MSI",301,105,8.8240076153786,1.10434711062694e-18,4.85912728675855e-17,"****"
"6","CD274_combo","STAD_CIN","MSS_TP53neg",301,176,-0.722477590020653,0.470000898492619,1,"ns"
"7","CD274_combo","STAD_CIN","MSS_TP53pos",301,139,2.75848902453841,0.00580692551421395,0.116138510284279,"ns"
"8","CD274_combo","STAD_CIN","High",301,124,8.92857087693787,4.31547376329199e-19,1.94196319348139e-17,"****"
"9","CD274_combo","STAD_CIN","Low",301,369,0.832991173346119,0.404849707357172,1,"ns"
"10","CD274_combo","STAD_EBV","STAD_GS",38,61,-4.72212304667448,2.33395399501778e-06,5.60148958804267e-05,"****"
"11","CD274_combo","STAD_EBV","STAD_MSI",38,93,-1.02794628320031,0.30397509648088,1,"ns"
"12","CD274_combo","STAD_EBV","EMT",38,73,-5.05929513527048,4.2080911319988e-07,1.13618460563968e-05,"****"
"13","CD274_combo","STAD_EBV","MSI",38,105,-0.768323722147595,0.442294884654166,1,"ns"
"14","CD274_combo","STAD_EBV","MSS_TP53neg",38,176,-6.7874313189876,1.1414756816431e-11,4.10931245391515e-10,"****"
"15","CD274_combo","STAD_EBV","MSS_TP53pos",38,139,-4.71266454286374,2.44498511627755e-06,5.60148958804267e-05,"****"
"16","CD274_combo","STAD_EBV","High",38,124,-1.03988158699054,0.298394918024287,1,"ns"
"17","CD274_combo","STAD_EBV","Low",38,369,-6.3442925750619,2.23449822075273e-10,7.59729395055928e-09,"****"
"18","CD274_combo","STAD_GS","STAD_MSI",61,93,4.72182412840203,2.33738762128913e-06,5.60148958804267e-05,"****"
"19","CD274_combo","STAD_GS","EMT",61,73,-0.208435414555537,0.834889006691302,1,"ns"
"20","CD274_combo","STAD_GS","MSI",61,105,5.15832270623057,2.4917189408244e-07,6.97681303430831e-06,"****"
"21","CD274_combo","STAD_GS","MSS_TP53neg",61,176,-1.60349544565803,0.108825313829001,1,"ns"
"22","CD274_combo","STAD_GS","MSS_TP53pos",61,139,0.737032599821757,0.461102524857656,1,"ns"
"23","CD274_combo","STAD_GS","High",61,124,5.00714783942197,5.52424965319965e-07,1.43630490983191e-05,"****"
"24","CD274_combo","STAD_GS","Low",61,369,-0.759618663430298,0.447482559859448,1,"ns"
"25","CD274_combo","STAD_MSI","EMT",93,73,-5.20645516254226,1.92482176013989e-07,5.58198310440569e-06,"****"
"26","CD274_combo","STAD_MSI","MSI",93,105,0.368398097190117,0.712576416074856,1,"ns"
"27","CD274_combo","STAD_MSI","MSS_TP53neg",93,176,-7.92697048448264,2.24556633316173e-15,8.53315206601458e-14,"****"
"28","CD274_combo","STAD_MSI","MSS_TP53pos",93,139,-4.96226873992453,6.96745007585346e-07,1.74186251896336e-05,"****"
"29","CD274_combo","STAD_MSI","High",93,124,0.0371655892804863,0.970352975422451,1,"ns"
"30","CD274_combo","STAD_MSI","Low",93,369,-7.60984776286999,2.74418965043727e-14,1.01535017066179e-12,"****"
"31","CD274_combo","EMT","MSI",73,105,5.68667516382336,1.29536513973948e-08,4.27470496114027e-07,"****"
"32","CD274_combo","EMT","MSS_TP53neg",73,176,-1.45162348528509,0.146606324925862,1,"ns"
"33","CD274_combo","EMT","MSS_TP53pos",73,139,1.03327235982786,0.301476458417557,1,"ns"
"34","CD274_combo","EMT","High",73,124,5.55320339570304,2.80481393048331e-08,8.97540457754661e-07,"****"
"35","CD274_combo","EMT","Low",73,369,-0.537357460752824,0.591020721379892,1,"ns"
"36","CD274_combo","MSI","MSS_TP53neg",105,176,-8.66647997623171,4.45685061431522e-18,1.87187725801239e-16,"****"
"37","CD274_combo","MSI","MSS_TP53pos",105,139,-5.54712844432482,2.90399412447323e-08,9.00238178586702e-07,"****"
"38","CD274_combo","MSI","High",105,124,-0.357108161919488,0.72101083448138,1,"ns"
"39","CD274_combo","MSI","Low",105,369,-8.4571824860174,2.73915093920264e-17,1.09566037568106e-15,"****"
"40","CD274_combo","MSS_TP53neg","MSS_TP53pos",176,139,3.09712122396498,0.00195409945848228,0.0410360886281278,"*"
"41","CD274_combo","MSS_TP53neg","High",176,124,8.71094907120272,3.01341039098441e-18,1.2957664681233e-16,"****"
"42","CD274_combo","MSS_TP53neg","Low",176,369,1.45460860555919,0.145777647259591,1,"ns"
"43","CD274_combo","MSS_TP53pos","High",139,124,5.42292625839859,5.86311845722033e-08,1.7589355371661e-06,"****"
"44","CD274_combo","MSS_TP53pos","Low",139,369,-2.1923836844077,0.0283518137208606,0.538684460696352,"ns"
"45","CD274_combo","High","Low",124,369,-8.5554580629329,1.1740160376661e-17,4.81346575443099e-16,"****"
