"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","PDCD1_combo","STAD_CIN","STAD_EBV",301,38,3.93345265122542,8.37343394021818e-05,0.00360057659429382,"**"
"2","PDCD1_combo","STAD_CIN","STAD_GS",301,61,3.42201162071331,0.000621596568487648,0.0242422661710183,"*"
"3","PDCD1_combo","STAD_CIN","STAD_MSI",301,93,2.98499311893247,0.00283584703065261,0.0992546460728415,"ns"
"4","PDCD1_combo","STAD_CIN","EMT",301,73,3.24485861415847,0.00117508952012038,0.0434783122444542,"*"
"5","PDCD1_combo","STAD_CIN","MSI",301,105,2.40965966797912,0.0159674075524383,0.479022226573149,"ns"
"6","PDCD1_combo","STAD_CIN","MSS_TP53neg",301,176,-0.156320702444976,0.875780238743817,1,"ns"
"7","PDCD1_combo","STAD_CIN","MSS_TP53pos",301,139,2.17526878340604,0.0296099803758966,0.799469470149209,"ns"
"8","PDCD1_combo","STAD_CIN","High",301,124,4.44126821240186,8.94302427402061e-06,0.000402436092330927,"***"
"9","PDCD1_combo","STAD_CIN","Low",301,369,1.01923314171332,0.308092296191369,1,"ns"
"10","PDCD1_combo","STAD_EBV","STAD_GS",38,61,-0.951688669591826,0.341254897302275,1,"ns"
"11","PDCD1_combo","STAD_EBV","STAD_MSI",38,93,-1.6778443717013,0.093377484580001,1,"ns"
"12","PDCD1_combo","STAD_EBV","EMT",38,73,-1.26894096838695,0.204462119069827,1,"ns"
"13","PDCD1_combo","STAD_EBV","MSI",38,105,-2.13434105161173,0.0328148731761103,0.853186702578867,"ns"
"14","PDCD1_combo","STAD_EBV","MSS_TP53neg",38,176,-3.86856923089722,0.000109475854351005,0.00459798588274219,"**"
"15","PDCD1_combo","STAD_EBV","MSS_TP53pos",38,139,-2.48062963781161,0.0131150563506446,0.406566746869983,"ns"
"16","PDCD1_combo","STAD_EBV","High",38,124,-1.09615919638049,0.273009112685448,1,"ns"
"17","PDCD1_combo","STAD_EBV","Low",38,369,-3.51007360549796,0.000447982666338463,0.0179193066535385,"*"
"18","PDCD1_combo","STAD_GS","STAD_MSI",61,93,-0.766931847738979,0.443122037104325,1,"ns"
"19","PDCD1_combo","STAD_GS","EMT",61,73,-0.32948472258116,0.741789339520571,1,"ns"
"20","PDCD1_combo","STAD_GS","MSI",61,105,-1.28817737386586,0.1976842262606,1,"ns"
"21","PDCD1_combo","STAD_GS","MSS_TP53neg",61,176,-3.33379533978174,0.000856696677529471,0.0325544737461199,"*"
"22","PDCD1_combo","STAD_GS","MSS_TP53pos",61,139,-1.67609723303301,0.0937191486571941,1,"ns"
"23","PDCD1_combo","STAD_GS","High",61,124,-0.0420168943721633,0.966485230248442,1,"ns"
"24","PDCD1_combo","STAD_GS","Low",61,369,-2.90367271965795,0.00368813475763924,0.125396581759734,"ns"
"25","PDCD1_combo","STAD_MSI","EMT",93,73,0.442570556977182,0.658076385152313,1,"ns"
"26","PDCD1_combo","STAD_MSI","MSI",93,105,-0.568987064832078,0.569364918233532,1,"ns"
"27","PDCD1_combo","STAD_MSI","MSS_TP53neg",93,176,-2.87811811916129,0.00400055315234578,0.132018254027411,"ns"
"28","PDCD1_combo","STAD_MSI","MSS_TP53pos",93,139,-0.978302543588766,0.327924712266977,1,"ns"
"29","PDCD1_combo","STAD_MSI","High",93,124,0.873253697760688,0.382524812041965,1,"ns"
"30","PDCD1_combo","STAD_MSI","Low",93,369,-2.36985420475829,0.0177951008491577,0.516057924625574,"ns"
"31","PDCD1_combo","EMT","MSI",73,105,-0.985802935577697,0.324229824954347,1,"ns"
"32","PDCD1_combo","EMT","MSS_TP53neg",73,176,-3.14747016153239,0.00164689913825368,0.0592883689771323,"ns"
"33","PDCD1_combo","EMT","MSS_TP53pos",73,139,-1.38549006893931,0.165902667101821,1,"ns"
"34","PDCD1_combo","EMT","High",73,124,0.342894106007706,0.731678125990527,1,"ns"
"35","PDCD1_combo","EMT","Low",73,369,-2.68685448158949,0.00721283684336456,0.230810778987666,"ns"
"36","PDCD1_combo","MSI","MSS_TP53neg",105,176,-2.33511231650848,0.0195375540749255,0.547051514097915,"ns"
"37","PDCD1_combo","MSI","MSS_TP53pos",105,139,-0.38699809757468,0.698757616352344,1,"ns"
"38","PDCD1_combo","MSI","High",105,124,1.51416854657546,0.129983096928794,1,"ns"
"39","PDCD1_combo","MSI","Low",105,369,-1.75351477027542,0.0795136864545816,1,"ns"
"40","PDCD1_combo","MSS_TP53neg","MSS_TP53pos",176,139,2.09660107897464,0.0360289036966936,0.90072259241734,"ns"
"41","PDCD1_combo","MSS_TP53neg","High",176,124,4.16867914146122,3.06369915754401e-05,0.00134802762931937,"**"
"42","PDCD1_combo","MSS_TP53neg","Low",176,369,1.02606587601358,0.304860533679443,1,"ns"
"43","PDCD1_combo","MSS_TP53pos","High",139,124,2.03073038838634,0.0422823519291026,1,"ns"
"44","PDCD1_combo","MSS_TP53pos","Low",139,369,-1.44606046066527,0.148160244489967,1,"ns"
"45","PDCD1_combo","High","Low",124,369,-3.80307390968621,0.000142911695606426,0.00585937951986345,"**"
